District,State,Area_km2,Population
Mamit,Mizoram,3025.00,2741239.00
Mandi,Himachal Pradesh,3950.00,2741239.00
Mandla,Madhya Pradesh,5800.00,2741239.00
Mandsaur,Madhya Pradesh,5535.00,2741239.00
Mandya,Karnataka,4962.00,2741239.00
Mansa,Punjab,2198.00,2741239.00
Mathura,Uttar Pradesh,3340.00,2741239.00
Mau,Uttar Pradesh,1713.00,2741239.00
Mayurbhanj,Orissa,10418.00,2741239.00
Medak,Andhra Pradesh,9699.00,2741239.00
Meerut,Uttar Pradesh,2559.00,2741239.00
Mewat,Haryana,1507.00,2741239.00
Mirzapur,Uttar Pradesh,4405.00,2741239.00
Moga,Punjab,2242.00,2741239.00
Mokokchung,Nagaland,1615.00,2741239.00
Mon,Nagaland,1786.00,2741239.00
Moradabad,Uttar Pradesh,3718.00,2741239.00
Morena,Madhya Pradesh,4989.00,2741239.00
Morigaon,Assam,1551.00,2741239.00
Muktsar,Punjab,2593.00,2741239.00
Mumbai,#N/A,157.00,2741239.00
Mumbai Suburban,Maharashtra,446.00,2741239.00
Munger,Bihar,1419.00,2741239.00
Murshidabad,West Bengal,5324.00,2741239.00
Muzaffarnagar,Uttar Pradesh,4008.00,2741239.00
Muzaffarpur,Bihar,3172.00,2741239.00
Mysore,Karnataka,6307.00,2741239.00
Nabarangapur,Orissa,5291.00,2741239.00
Nadia,West Bengal,3927.00,2741239.00
Nagaon,Assam,3973.00,2741239.00
Nagapattinam,Tamil Nadu,2569.00,2741239.00
Nagaur,Rajasthan,17718.00,2741239.00
Nagpur,Maharashtra,9892.00,2741239.00
Nainital,Uttarakhand,4251.00,2741239.00
Nalanda,Bihar,2355.00,2741239.00
Nalbari,Assam,1052.00,2741239.00
Nalgonda,Andhra Pradesh,14240.00,2741239.00
Namakkal,Tamil Nadu,3420.00,2741239.00
Nanded,Maharashtra,10528.00,2741239.00
Nandurbar,Maharashtra,5955.00,2741239.00
Narayanpur,Chhattisgarh,4653.00,2741239.00
Narmada,Gujarat,2817.00,2741239.00
Narsimhapur,Madhya Pradesh,5133.00,2741239.00
Nashik,Maharashtra,15530.00,2741239.00
Navsari,Gujarat,2246.00,2741239.00
Nawada,Bihar,2494.00,2741239.00
Nayagarh,Orissa,3890.00,2741239.00
Neemuch,Madhya Pradesh,4256.00,2741239.00
New Delhi,Delhi,35.00,2741239.00
Nicobars,Andaman And Nicobar Islands,1841.00,2741239.00
Nizamabad,Andhra Pradesh,7956.00,2741239.00
North,#N/A,61.00,2741239.00
North & Middle Andaman,#N/A,3736.00,2741239.00
North District,#N/A,4226.00,2741239.00
North East,#N/A,62.00,2741239.00
North Goa,Goa,1736.00,2741239.00
North Tripura,Tripura,2036.00,2741239.00
North Twenty Four Parganas,West Bengal,4094.00,2741239.00
North West,#N/A,443.00,2741239.00
Nuapada,Orissa,3852.00,2741239.00
Osmanabad,Maharashtra,7569.00,2741239.00
Pakur,Jharkhand,1811.00,2741239.00
Palakkad,Kerala,4482.00,2741239.00
Palamu,Jharkhand,4393.00,2741239.00
Pali,Rajasthan,12387.00,2741239.00
Palwal,Haryana,1359.00,2741239.00
Panchkula,Haryana,898.00,2741239.00
Panchmahal,Gujarat,5231.00,2741239.00
Panipat,Haryana,1268.00,2741239.00
Panna,Madhya Pradesh,7135.00,2741239.00
Papum Pare,#N/A,3462.00,2741239.00
Parbhani,Maharashtra,6214.00,2741239.00
Paschim Medinipur,West Bengal,9368.00,2741239.00
Pashchim Champaran,Bihar,5228.00,2741239.00
Pashchimi Singhbhum,Jharkhand,7224.00,2741239.00
Patan,Gujarat,5792.00,2741239.00
Pathanamthitta,Kerala,2652.00,2741239.00
Patiala,Punjab,3325.00,2741239.00
Patna,Bihar,3202.00,2741239.00
Perambalur,Tamil Nadu,1756.00,2741239.00
Peren,Nagaland,1651.00,2741239.00
Phek,Nagaland,2026.00,2741239.00
Pilibhit,Uttar Pradesh,3686.00,2741239.00
Pithoragarh,Uttarakhand,7090.00,2741239.00
Porbandar,Gujarat,2316.00,2741239.00
Prakasam,Andhra Pradesh,17626.00,2741239.00
